filename,element,orbital_basis,origin,source,n_functions,composition,max_L,sha256_16
Ag.aug-cc-pCV5Z.AutoAuxC.orca,Ag,aug-cc-pCV5Z,library,recipes/Ag/ccECP/Ag.aug-cc-pCV5Z.AutoAuxC.orca,96,S18 P16 D16 F15 G14 H7 I5 K5,k,c80b3c4d836c54e1
Ag.aug-cc-pCVDZ.AutoAuxC.orca,Ag,aug-cc-pCVDZ,library,recipes/Ag/ccECP/Ag.aug-cc-pCVDZ.AutoAuxC.orca,77,S17 P15 D14 F13 G13 H5,h,183079d7518dd132
Ag.aug-cc-pCVQZ.AutoAuxC.orca,Ag,aug-cc-pCVQZ,library,recipes/Ag/ccECP/Ag.aug-cc-pCVQZ.AutoAuxC.orca,93,S18 P16 D15 F14 G14 H7 I5 K4,k,869b507c259d0c80
Ag.aug-cc-pCVTZ.AutoAuxC.orca,Ag,aug-cc-pCVTZ,library,recipes/Ag/ccECP/Ag.aug-cc-pCVTZ.AutoAuxC.orca,83,S17 P15 D14 F14 G13 H6 I4,i,9f660cdc34b8a2d5
Ag.aug-cc-pV5Z.AutoAuxC.orca,Ag,aug-cc-pV5Z,library,recipes/Ag/ccECP/Ag.aug-cc-pV5Z.AutoAuxC.orca,93,S18 P16 D15 F14 G14 H7 I5 K4,k,990902b213002529
Ag.aug-cc-pVDZ.AutoAuxC.orca,Ag,aug-cc-pVDZ,library,recipes/Ag/ccECP/Ag.aug-cc-pVDZ.AutoAuxC.orca,67,S15 P13 D12 F12 G11 H4,h,5317b9028faeddd5
Ag.aug-cc-pVQZ.AutoAuxC.orca,Ag,aug-cc-pVQZ,library,recipes/Ag/ccECP/Ag.aug-cc-pVQZ.AutoAuxC.orca,87,S17 P15 D14 F14 G13 H6 I4 K4,k,2aaeacf12c474a71
Ag.aug-cc-pVTZ.AutoAuxC.orca,Ag,aug-cc-pVTZ,library,recipes/Ag/ccECP/Ag.aug-cc-pVTZ.AutoAuxC.orca,76,S16 P14 D13 F13 G12 H5 I3,i,f6d97769ac1f6100
Ag.cc-pCV5Z.AutoAuxC.orca,Ag,cc-pCV5Z,library,recipes/Ag/ccECP/Ag.cc-pCV5Z.AutoAuxC.orca,87,S17 P15 D14 F13 G13 H6 I5 K4,k,48418bf51e8f14a7
Ag.cc-pCVDZ.AutoAuxC.orca,Ag,cc-pCVDZ,library,recipes/Ag/ccECP/Ag.cc-pCVDZ.AutoAuxC.orca,67,S15 P13 D12 F12 G11 H4,h,1edb7b230205c4fa
Ag.cc-pCVQZ.AutoAuxC.orca,Ag,cc-pCVQZ,library,recipes/Ag/ccECP/Ag.cc-pCVQZ.AutoAuxC.orca,80,S16 P14 D13 F13 G12 H5 I4 K3,k,d238858e1c031e1e
Ag.cc-pCVTZ.AutoAuxC.orca,Ag,cc-pCVTZ,library,recipes/Ag/ccECP/Ag.cc-pCVTZ.AutoAuxC.orca,74,S15 P14 D13 F12 G12 H5 I3,i,fe65f87cc7f02cc4
Ag.cc-pV5Z.AutoAuxC.orca,Ag,cc-pV5Z,library,recipes/Ag/ccECP/Ag.cc-pV5Z.AutoAuxC.orca,82,S16 P14 D13 F13 G12 H6 I4 K4,k,78c7adb9bf30cb11
Ag.cc-pVDZ.AutoAuxC.orca,Ag,cc-pVDZ,library,recipes/Ag/ccECP/Ag.cc-pVDZ.AutoAuxC.orca,56,S13 P11 D11 F10 G9 H2,h,592bc0628256c4bb
Ag.cc-pVQZ.AutoAuxC.orca,Ag,cc-pVQZ,library,recipes/Ag/ccECP/Ag.cc-pVQZ.AutoAuxC.orca,74,S15 P13 D12 F12 G11 H5 I3 K3,k,9a7c17aab541856a
Ag.cc-pVTZ.AutoAuxC.orca,Ag,cc-pVTZ,library,recipes/Ag/ccECP/Ag.cc-pVTZ.AutoAuxC.orca,68,S14 P13 D12 F11 G11 H4 I3,i,738438fc41c82107
Al.aug-cc-pV5Z.AutoAuxC.orca,Al,aug-cc-pV5Z,library,recipes/Al/ccECP/Al.aug-cc-pV5Z.AutoAuxC.orca,56,S12 P11 D11 F7 G6 H5 I4,i,1e4c6219bcdce5a1
