element,kind,name,check,severity,detail
Ir,basis,aug-cc-pVQZ,source_data_note,review,"an f exponent is 0.577106 in aug-cc-pVQZ while the corresponding cc-pVQZ value is 1.577106; the value also breaks the descending order of the f set (0.577106 < 0.656915).  Identical in the .gamess, .gaussian, .nwchem and .molpro renderings.  The source value is preserved exactly as supplied."
Ir,basis,aug-cc-pCVQZ,source_data_note,review,same 0.577106 vs 1.577106 f exponent as Ir/aug-cc-pVQZ.
Na,basis,aug-cc-pVDZ/TZ/QZ,source_data_note,review,"like Mg: the contracted kernels match cc-pVXZ, but the outermost uncontracted exponents differ rather than forming a strict primitive superset (cc-pVDZ s 0.120857 vs aug-cc-pVDZ s 0.065057 and 0.026027). The source values are preserved exactly."
Mg,basis,aug-cc-pVDZ/TZ/QZ/5Z,source_data_note,review,the contracted s/p kernels are identical to cc-pVXZ but every uncontracted exponent differs (cc-pVDZ s 0.029784 vs aug-cc-pVDZ s 0.125638 and 0.050283); the aug- sets are not strict primitive supersets of the cc- sets for Mg.  The source values are preserved exactly.
Eu,basis,aug-cc-pCVTZ,source_data_note,review,"the g space is {5.415869, 1.498739, 0.599496} while cc-pCVTZ has {5.415869, 1.498739, 0.563469}: the augmented set is not a strict primitive superset in the g space.  The source values are preserved exactly."
H;He,program,ccECP,mrcc_ncore_zero_unsupported,program,"Executable validation with MRCC 25.1.1 and 26.1.1 shows that ECP entries with NCORE = 0 are not handled correctly.  This affects the canonical ccECPs of H and He, which keep all electrons explicit.  The converter writes the correct NCORE = 0 ECPDATA record without a numerical workaround.  Validate H and He independently before production use with these MRCC releases."
Ag,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['6.865300', '2.613000', '0.994500'], 'g': ['3.408200', '1.457300'], 'h': ['2.833200']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Ag,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['4.194200', '1.425300'], 'g': ['2.530500']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Ag,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['2.543100']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Au,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['2.307800', '1.133800', '0.557100'], 'g': ['2.557000', '1.130200'], 'h': ['2.014800']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Au,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['1.872500', '0.796000'], 'g': ['1.903700']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Au,basis,cc-pCVTZ,core_valence_vs_parent,review,"cc-pCVTZ [7s,7p,6d,3f,2g] vs cc-pVTZ [5s,5p,4d,2f,1g]: primitives of the parent that are absent: {'f': ['1.438500']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Eu,basis,aug-cc-pCVTZ,aug_vs_parent,review,"aug-cc-pCVTZ [7s,7p,6d,6f,3g,3h] vs cc-pCVTZ [6s,6p,5d,5f,3g,2h]: primitives of the parent that are absent: {'g': ['0.563469']} | FYI no primitive more diffuse than the parent's smallest in g; FYI no primitive more diffuse than the parent's smallest in h"
Ir,basis,aug-cc-pCVQZ,aug_vs_parent,review,"aug-cc-pCVQZ [8s,9p,8d,5f,4g,3h] vs cc-pCVQZ [7s,8p,7d,4f,3g,2h]: primitives of the parent that are absent: {'d': ['1.362585'], 'f': ['1.577106']}"
Ir,basis,aug-cc-pVQZ,aug_vs_parent,review,"aug-cc-pVQZ [7s,7p,6d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['1.577106']}"
Mg,basis,aug-cc-pV5Z,aug_vs_parent,review,"aug-cc-pV5Z [6s,6p,5d,4f,3g,2h] vs cc-pV5Z [5s,5p,4d,3f,2g,1h]: primitives of the parent that are absent: {'s': ['0.029521', '0.066995', '0.152041', '0.345047'], 'p': ['0.019717', '0.040022', '0.081236', '0.164892'], 'd': ['0.109774', '0.241489', '0.531245', '1.168674'], 'f': ['0.154893', '0.263812', '0.449319'], 'g': ['0.239979', '0.443952'], 'h': ['0.374983']}"
Mg,basis,aug-cc-pVDZ,aug_vs_parent,review,"aug-cc-pVDZ [3s,3p,2d] vs cc-pVDZ [2s,2p,1d]: primitives of the parent that are absent: {'s': ['0.029784'], 'p': ['0.020348'], 'd': ['0.145290']} | FYI no primitive more diffuse than the parent's smallest in s; FYI no primitive more diffuse than the parent's smallest in p"
Mg,basis,aug-cc-pVQZ,aug_vs_parent,review,"aug-cc-pVQZ [5s,5p,4d,3f,2g] vs cc-pVQZ [4s,4p,3d,2f,1g]: primitives of the parent that are absent: {'s': ['0.030897', '0.069571', '0.156651'], 'p': ['0.025392', '0.064751', '0.165122'], 'd': ['0.105834', '0.194029', '0.355719'], 'f': ['0.180053', '0.357087'], 'g': ['0.306900']} | FYI no primitive more diffuse than the parent's smallest in s"
Mg,basis,aug-cc-pVTZ,aug_vs_parent,review,"aug-cc-pVTZ [4s,4p,3d,2f] vs cc-pVTZ [3s,3p,2d,1f]: primitives of the parent that are absent: {'s': ['0.036514', '0.167485'], 'p': ['0.030867', '0.072377'], 'd': ['0.122209', '0.286399'], 'f': ['0.250810']} | FYI no primitive more diffuse than the parent's smallest in p"
Mo,basis,cc-pCV5Z,core_valence_vs_parent,review,"cc-pCV5Z [9s,9p,8d,5f,4g,3h,2i] vs cc-pV5Z [7s,7p,6d,4f,3g,2h,1i]: primitives of the parent that are absent: {'f': ['3.748300', '1.360100', '0.493500'], 'g': ['1.808900', '0.702800'], 'h': ['1.435900']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
Mo,basis,cc-pCVQZ,core_valence_vs_parent,review,"cc-pCVQZ [8s,8p,7d,4f,3g,2h] vs cc-pVQZ [6s,6p,5d,3f,2g,1h]: primitives of the parent that are absent: {'f': ['2.181000', '0.702600'], 'g': ['1.256800']} | FYI no primitive tighter than the parent's largest in s; FYI no primitive tighter than the parent's largest in p; FYI no primitive tighter than the parent's largest in d"
