element,atomic_number,source_recipe_dir,source_filename,source_format,all_source_formats,precision_digits_per_format,library_family,source_name,cfour_name,label_suffix,cfour_label,n_contracted,n_primitives,max_L,contracted_composition,primitive_composition,name_transformation,validation,cfour_file
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCV5Z.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:2800;gaussian:2800;nwchem:2800,ccECP,aug-cc-pCV5Z,aug-cc-pCV5Z-ccECP,-ccECP,Ag:aug-cc-pCV5Z-ccECP,47,251,i,"10s,10p,9d,6f,5g,4h,3i","16s,16p,16d,6f,5g,4h,3i",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pCV5Z.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCVDZ.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:1249;gaussian:1249;nwchem:1249,ccECP,aug-cc-pCVDZ,aug-cc-pCVDZ-ccECP,-ccECP,Ag:aug-cc-pCVDZ-ccECP,20,116,f,"6s,6p,5d,3f","15s,15p,15d,3f",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pCVDZ.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCVQZ.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:2270;gaussian:2270;nwchem:2270,ccECP,aug-cc-pCVQZ,aug-cc-pCVQZ-ccECP,-ccECP,Ag:aug-cc-pCVQZ-ccECP,38,206,h,"9s,9p,8d,5f,4g,3h","16s,16p,16d,5f,4g,3h",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pCVQZ.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCVTZ.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:1754;gaussian:1754;nwchem:1754,ccECP,aug-cc-pCVTZ,aug-cc-pCVTZ-ccECP,-ccECP,Ag:aug-cc-pCVTZ-ccECP,30,162,g,"8s,8p,7d,4f,3g","16s,16p,16d,4f,3g",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pCVTZ.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pV5Z.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:2738;gaussian:2738;nwchem:2738,ccECP,aug-cc-pV5Z,aug-cc-pV5Z-ccECP,-ccECP,Ag:aug-cc-pV5Z-ccECP,37,241,i,"8s,8p,7d,5f,4g,3h,2i","14s,14p,14d,5f,4g,3h,2i",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pV5Z.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pVDZ.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:1225;gaussian:1225;nwchem:1225,ccECP,aug-cc-pVDZ,aug-cc-pVDZ-ccECP,-ccECP,Ag:aug-cc-pVDZ-ccECP,16,112,f,"5s,5p,4d,2f","14s,14p,14d,2f",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pVDZ.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pVQZ.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:2217;gaussian:2217;nwchem:2217,ccECP,aug-cc-pVQZ,aug-cc-pVQZ-ccECP,-ccECP,Ag:aug-cc-pVQZ-ccECP,29,197,h,"7s,7p,6d,4f,3g,2h","14s,14p,14d,4f,3g,2h",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pVQZ.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pVTZ.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:1707;gaussian:1707;nwchem:1707,ccECP,aug-cc-pVTZ,aug-cc-pVTZ-ccECP,-ccECP,Ag:aug-cc-pVTZ-ccECP,22,154,g,"6s,6p,5d,3f,2g","14s,14p,14d,3f,2g",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.aug-cc-pVTZ.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pCV5Z.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:2761;gaussian:2761;nwchem:2761,ccECP,cc-pCV5Z,cc-pCV5Z-ccECP,-ccECP,Ag:cc-pCV5Z-ccECP,40,244,i,"9s,9p,8d,5f,4g,3h,2i","15s,15p,15d,5f,4g,3h,2i",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.cc-pCV5Z.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pCVDZ.gamess,gamess,dirac;gamess;gaussian;molpro;nwchem,gamess:1226;gaussian:1226;nwchem:1226,ccECP,cc-pCVDZ,cc-pCVDZ-ccECP,-ccECP,Ag:cc-pCVDZ-ccECP,16,112,f,"5s,5p,4d,2f","14s,14p,14d,2f",source library name plus declared suffix '-ccECP',PASS,by_element/Ag/Ag.cc-pCVDZ.cfour
