element,atomic_number,source_recipe_dir,source_filename,source_format,all_source_formats,library_family,library_name,cfour_name,label_suffix,cfour_label,ncore,n_explicit_electrons,lmax,local_channel,nonlocal_channels,n_terms_per_channel,radial_powers,precision_digits_per_format,radial_power_convention,local_channel_convention,name_transformation,validation,cfour_file
Ag,47,recipes/Ag/ccECP,Ag.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Ag:ccECP,28,19,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:153;gaussian:153;molpro:153;nwchem:153;plain:192,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ag/Ag.ccECP.cfour
Al,13,recipes/Al/ccECP,Al.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Al:ccECP,10,3,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:93;gaussian:93;molpro:93;nwchem:93,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Al/Al.ccECP.cfour
Ar,18,recipes/Ar/ccECP,Ar.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ar:ccECP,10,8,2,d,s-d;p-d,d:3;s-d:2;p-d:2,1;2;3,gamess:100;gaussian:100;molpro:100;nwchem:100,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ar/Ar.ccECP.cfour
As,33,recipes/As/ccECP,As.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,As:ccECP,28,5,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:287;gaussian:251;molpro:287;nwchem:287,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/As/As.ccECP.cfour
Au,79,recipes/Au/ccECP,Au.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Au:ccECP,60,19,4,g,s-g;p-g;d-g;f-g,g:4;s-g:3;p-g:3;d-g:3;f-g:3,1;2;3,gamess:236;gaussian:236;molpro:236;nwchem:236;plain:299,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Au/Au.ccECP.cfour
B,5,recipes/B/ccECP,B.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,B:ccECP,2,3,1,p,s-p,p:3;s-p:1,1;2;3,gamess:43;gaussian:43;molpro:43;nwchem:43;plain:43,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/B/B.ccECP.cfour
Ba,56,recipes/Ba/ccECP,Ba.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Ba:ccECP,46,10,4,g,s-g;p-g;d-g;f-g,g:4;s-g:2;p-g:2;d-g:2;f-g:2,1;2;3,gamess:152;gaussian:152;molpro:152;nwchem:152,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Ba/Ba.ccECP.cfour
Be,4,recipes/Be/ccECP,Be.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Be:ccECP,2,2,1,p,s-p,p:4;s-p:1,1;2;3,gamess:142;gaussian:123;molpro:142;nwchem:142,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Be/Be.ccECP.cfour
Bi,83,recipes/Bi/ccECP,Bi.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem;plain,ccECP,ccECP,ccECP,,Bi:ccECP,78,5,4,g,s-g;p-g;d-g;f-g,g:4;s-g:3;p-g:3;d-g:3;f-g:3,1;2;3;4,gamess:208;gaussian:208;molpro:208;nwchem:208;plain:239,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Bi/Bi.ccECP.cfour
Br,35,recipes/Br/ccECP,Br.ccECP.gamess,gamess,gamess;gaussian;molpro;nwchem,ccECP,ccECP,ccECP,,Br:ccECP,28,7,3,f,s-f;p-f;d-f,f:4;s-f:2;p-f:2;d-f:2,1;2;3,gamess:273;gaussian:240;molpro:273;nwchem:273,U_l(r) = sum_m c_m r**(N_m-2) exp(-alpha_m r**2),"local channel first, labelled l=LMAX; semi-local channels are U_l - U_LMAX",none: <Element>:<library name> verbatim,PASS,by_element/Br/Br.ccECP.cfour
