element,atomic_number,recipe_dir,library_family,ecp_source_files,ecp_source_used,ncore,n_explicit_electrons,lmax,local_ecp_channel,nonlocal_ecp_channels,n_basis_sets,basis_names,basis_source_formats,ecp_validation,anomalies
Ag,47,recipes/Ag/ccECP,ccECP,gamess=Ag.ccECP.gamess;gaussian=Ag.ccECP.gaussian;molpro=Ag.ccECP.molpro;nwchem=Ag.ccECP.nwchem;plain=Ag.ccECP,Ag.ccECP.gamess,28,19,3,f,s-f;p-f;d-f,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ag.ccECP.AREP.rpt;Ag.ccECP.AREP.upf;Ag.ccECP.AREP.xml;Ag.ccECP.SOREP.rpt;Ag.ccECP.SOREP.upf;Ag.ccECP.SOREP.xml;Ag.ccECP.dirac;autoauxc_jobs
Al,13,recipes/Al/ccECP,ccECP,gamess=Al.ccECP.gamess;gaussian=Al.ccECP.gaussian;molpro=Al.ccECP.molpro;nwchem=Al.ccECP.nwchem,Al.ccECP.gamess,10,3,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Al.ccECP.rpt;Al.ccECP.upf;Al.ccECP.xml;autoauxc_jobs
Ar,18,recipes/Ar/ccECP,ccECP,gamess=Ar.ccECP.gamess;gaussian=Ar.ccECP.gaussian;molpro=Ar.ccECP.molpro;nwchem=Ar.ccECP.nwchem,Ar.ccECP.gamess,10,8,2,d,s-d;p-d,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ar.ccECP.rpt;Ar.ccECP.upf;Ar.ccECP.xml;autoauxc_jobs
As,33,recipes/As/ccECP,ccECP,gamess=As.ccECP.gamess;gaussian=As.ccECP.gaussian;molpro=As.ccECP.molpro;nwchem=As.ccECP.nwchem,As.ccECP.gamess,28,5,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: As.ccECP.rpt;As.ccECP.upf;As.ccECP.xml;autoauxc_jobs
Au,79,recipes/Au/ccECP,ccECP,gamess=Au.ccECP.gamess;gaussian=Au.ccECP.gaussian;molpro=Au.ccECP.molpro;nwchem=Au.ccECP.nwchem;plain=Au.ccECP,Au.ccECP.gamess,60,19,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Au.ccECP.AREP.rpt;Au.ccECP.AREP.upf;Au.ccECP.AREP.xml;Au.ccECP.SOREP.rpt;Au.ccECP.SOREP.upf;Au.ccECP.SOREP.xml;Au.ccECP.dirac;autoauxc_jobs
B,5,recipes/B/ccECP,ccECP,gamess=B.ccECP.gamess;gaussian=B.ccECP.gaussian;molpro=B.ccECP.molpro;nwchem=B.ccECP.nwchem;plain=B.ccECP,B.ccECP.gamess,2,3,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: B.ccECP.rpt;B.ccECP.upf;B.ccECP.xml;autoauxc_jobs
Ba,56,recipes/Ba/ccECP,ccECP,gamess=Ba.ccECP.gamess;gaussian=Ba.ccECP.gaussian;molpro=Ba.ccECP.molpro;nwchem=Ba.ccECP.nwchem,Ba.ccECP.gamess,46,10,4,g,s-g;p-g;d-g;f-g,16,aug-cc-pCV5Z;aug-cc-pCVDZ;aug-cc-pCVQZ;aug-cc-pCVTZ;aug-cc-pV5Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pCV5Z;cc-pCVDZ;cc-pCVQZ;cc-pCVTZ;cc-pV5Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Ba.ccECP.AREP.rpt;Ba.ccECP.AREP.upf;Ba.ccECP.AREP.xml;Ba.ccECP.SOREP.rpt;Ba.ccECP.SOREP.upf;Ba.ccECP.SOREP.xml;Ba.ccECP.dirac;autoauxc_jobs
Be,4,recipes/Be/ccECP,ccECP,gamess=Be.ccECP.gamess;gaussian=Be.ccECP.gaussian;molpro=Be.ccECP.molpro;nwchem=Be.ccECP.nwchem,Be.ccECP.gamess,2,2,1,p,s-p,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Be.ccECP.rpt;Be.ccECP.upf;Be.ccECP.xml;autoauxc_jobs
Bi,83,recipes/Bi/ccECP,ccECP,gamess=Bi.ccECP.gamess;gaussian=Bi.ccECP.gaussian;molpro=Bi.ccECP.molpro;nwchem=Bi.ccECP.nwchem;plain=Bi.ccECP,Bi.ccECP.gamess,78,5,4,g,s-g;p-g;d-g;f-g,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,dirac;gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Bi.ccECP.AREP.rpt;Bi.ccECP.AREP.upf;Bi.ccECP.AREP.xml;Bi.ccECP.SOREP.rpt;Bi.ccECP.SOREP.upf;Bi.ccECP.SOREP.xml;Bi.ccECP.dirac;autoauxc_jobs
Br,35,recipes/Br/ccECP,ccECP,gamess=Br.ccECP.gamess;gaussian=Br.ccECP.gaussian;molpro=Br.ccECP.molpro;nwchem=Br.ccECP.nwchem,Br.ccECP.gamess,28,7,3,f,s-f;p-f;d-f,10,aug-cc-pV5Z;aug-cc-pV6Z;aug-cc-pVDZ;aug-cc-pVQZ;aug-cc-pVTZ;cc-pV5Z;cc-pV6Z;cc-pVDZ;cc-pVQZ;cc-pVTZ,gamess;gaussian;molpro;nwchem,PASS,library files present but not used: Br.ccECP.rpt;Br.ccECP.upf;Br.ccECP.xml;autoauxc_jobs
