element,source_recipe_dir,source_filename,kind,library_family,library_name,cfour_name,label_suffix,cfour_label,status,note,cfour_file
Ag,recipes/Ag/ccECP,Ag.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ag:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ag/Ag.ccECP.cfour
Al,recipes/Al/ccECP,Al.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Al:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Al/Al.ccECP.cfour
Ar,recipes/Ar/ccECP,Ar.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ar:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ar/Ar.ccECP.cfour
As,recipes/As/ccECP,As.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,As:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/As/As.ccECP.cfour
Au,recipes/Au/ccECP,Au.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Au:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Au/Au.ccECP.cfour
B,recipes/B/ccECP,B.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,B:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/B/B.ccECP.cfour
Ba,recipes/Ba/ccECP,Ba.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ba:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ba/Ba.ccECP.cfour
Be,recipes/Be/ccECP,Be.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Be:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Be/Be.ccECP.cfour
Bi,recipes/Bi/ccECP,Bi.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Bi:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Bi/Bi.ccECP.cfour
Br,recipes/Br/ccECP,Br.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Br:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Br/Br.ccECP.cfour
C,recipes/C/ccECP,C.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,C:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/C/C.ccECP.cfour
Ca,recipes/Ca/ccECP,Ca.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ca:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ca/Ca.ccECP.cfour
Cd,recipes/Cd/ccECP,Cd.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Cd:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Cd/Cd.ccECP.cfour
Ce,recipes/Ce/ccECP,Ce.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Ce:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Ce/Ce.ccECP.cfour
Cl,recipes/Cl/ccECP,Cl.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Cl:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Cl/Cl.ccECP.cfour
Co,recipes/Co/ccECP,Co.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Co:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Co/Co.ccECP.cfour
Cr,recipes/Cr/ccECP,Cr.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Cr:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Cr/Cr.ccECP.cfour
Cs,recipes/Cs/ccECP,Cs.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Cs:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Cs/Cs.ccECP.cfour
Cu,recipes/Cu/ccECP,Cu.ccECP.gamess,ecp,ccECP,ccECP,ccECP,,Cu:ccECP,PASS,no transformation: label is exactly <library element>:<library name>,by_element/Cu/Cu.ccECP.cfour
