element,atomic_number,source_recipe_dir,source_filename,source_format,source_origin,library_family,orbital_basis,source_name,cfour_name,ri_infix,label_suffix,cfour_label,n_functions,n_primitives,max_L,composition,uncontracted,name_transformation,cfour_file
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCV5Z.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pCV5Z,aug-cc-pCV5Z,aug-cc-pCV5Z-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pCV5Z-RI-ccECP,96,96,k,s18 p16 d16 f15 g14 h7 i5 k5,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pCV5Z-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCVDZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pCVDZ,aug-cc-pCVDZ,aug-cc-pCVDZ-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pCVDZ-RI-ccECP,77,77,h,s17 p15 d14 f13 g13 h5,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pCVDZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCVQZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pCVQZ,aug-cc-pCVQZ,aug-cc-pCVQZ-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pCVQZ-RI-ccECP,93,93,k,s18 p16 d15 f14 g14 h7 i5 k4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pCVQZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pCVTZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pCVTZ,aug-cc-pCVTZ,aug-cc-pCVTZ-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pCVTZ-RI-ccECP,83,83,i,s17 p15 d14 f14 g13 h6 i4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pCVTZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pV5Z.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pV5Z,aug-cc-pV5Z,aug-cc-pV5Z-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pV5Z-RI-ccECP,93,93,k,s18 p16 d15 f14 g14 h7 i5 k4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pV5Z-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pVDZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pVDZ,aug-cc-pVDZ,aug-cc-pVDZ-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pVDZ-RI-ccECP,67,67,h,s15 p13 d12 f12 g11 h4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pVDZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pVQZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pVQZ,aug-cc-pVQZ,aug-cc-pVQZ-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pVQZ-RI-ccECP,87,87,k,s17 p15 d14 f14 g13 h6 i4 k4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pVQZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.aug-cc-pVTZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,aug-cc-pVTZ,aug-cc-pVTZ,aug-cc-pVTZ-RI-ccECP,-RI,-ccECP,Ag:aug-cc-pVTZ-RI-ccECP,76,76,i,s16 p14 d13 f13 g12 h5 i3,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.aug-cc-pVTZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pCV5Z.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,cc-pCV5Z,cc-pCV5Z,cc-pCV5Z-RI-ccECP,-RI,-ccECP,Ag:cc-pCV5Z-RI-ccECP,87,87,k,s17 p15 d14 f13 g13 h6 i5 k4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.cc-pCV5Z-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pCVDZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,cc-pCVDZ,cc-pCVDZ,cc-pCVDZ-RI-ccECP,-RI,-ccECP,Ag:cc-pCVDZ-RI-ccECP,67,67,h,s15 p13 d12 f12 g11 h4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.cc-pCVDZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pCVQZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,cc-pCVQZ,cc-pCVQZ,cc-pCVQZ-RI-ccECP,-RI,-ccECP,Ag:cc-pCVQZ-RI-ccECP,80,80,k,s16 p14 d13 f13 g12 h5 i4 k3,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.cc-pCVQZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pCVTZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,cc-pCVTZ,cc-pCVTZ,cc-pCVTZ-RI-ccECP,-RI,-ccECP,Ag:cc-pCVTZ-RI-ccECP,74,74,i,s15 p14 d13 f12 g12 h5 i3,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.cc-pCVTZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pV5Z.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,cc-pV5Z,cc-pV5Z,cc-pV5Z-RI-ccECP,-RI,-ccECP,Ag:cc-pV5Z-RI-ccECP,82,82,k,s16 p14 d13 f13 g12 h6 i4 k4,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.cc-pV5Z-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pVDZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,cc-pVDZ,cc-pVDZ,cc-pVDZ-RI-ccECP,-RI,-ccECP,Ag:cc-pVDZ-RI-ccECP,56,56,h,s13 p11 d11 f10 g9 h2,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.cc-pVDZ-RI.cfour
Ag,47,recipes/Ag/ccECP,Ag.cc-pVQZ.AutoAuxC.orca,AutoAuxC.orca,library,ccECP,cc-pVQZ,cc-pVQZ,cc-pVQZ-RI-ccECP,-RI,-ccECP,Ag:cc-pVQZ-RI-ccECP,74,74,k,s15 p13 d12 f12 g11 h5 i3 k3,yes,orbital name plus '-RI' plus declared suffix '-ccECP',by_element/Ag/Ag.cc-pVQZ-RI.cfour
